trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,4287,6586
2,1,3,2,2,1,2173,0
2,2,3,2,3,2,3504,4070
3,1,3,2,3,1,2333,0
3,2,3,2,2,3,3766,4513
4,1,3,4,3,1,4769,0
4,2,3,4,3,3,7793,0
4,3,3,4,2,3,12145,0
4,4,3,4,1,2,15570,0
4,5,3,4,3,1,16636,0
4,6,3,4,3,2,19475,0
4,7,3,4,1,3,21074,22033
5,1,3,4,3,1,3706,0
5,2,3,4,2,3,6994,0
5,3,3,4,1,2,8837,0
5,4,3,4,3,2,10082,0
5,5,3,4,3,1,11866,12763
6,1,3,5,3,1,2629,0
6,2,3,5,2,3,4156,0
6,3,3,5,1,2,5636,0
6,4,3,5,3,1,7710,0
6,5,3,5,3,2,8942,0
6,6,3,5,1,3,9998,0
6,7,3,5,2,3,11054,11628
7,1,3,5,3,1,2439,0
7,2,3,5,2,3,4630,0
7,3,3,5,1,2,6776,0
7,4,3,5,3,1,7784,0
7,5,3,5,1,2,9872,0
7,6,3,5,3,1,10737,0
7,7,3,5,2,3,11634,12201
8,1,3,5,2,1,1355,0
8,2,3,5,3,2,3882,0
8,3,3,5,3,3,9108,0
8,4,3,5,1,2,11699,0
8,5,3,5,3,1,12551,0
8,6,3,5,2,3,17120,0
8,7,3,5,2,3,19189,0
8,8,3,5,1,2,21374,0
8,9,3,5,3,2,22430,0
8,10,3,5,3,1,23536,0
8,11,3,5,2,3,24503,0
8,12,3,5,2,3,26142,26704
9,1,3,6,3,2,2020,0
9,2,3,6,3,1,3707,0
9,3,3,6,2,3,7188,0
9,4,3,6,2,3,8628,0
9,5,3,6,1,2,9740,0
9,6,3,6,3,2,11098,0
9,7,3,6,2,1,12668,0
9,8,3,6,2,3,13429,0
9,9,3,6,1,3,14484,0
9,10,3,6,3,2,16541,0
9,11,3,6,3,1,18006,0
9,12,3,6,2,3,23462,0
9,13,3,6,1,2,24757,0
9,14,3,6,3,1,25808,0
9,15,3,6,3,2,27527,0
9,16,3,6,1,3,28530,0
9,17,3,6,2,1,29622,0
9,18,3,6,2,3,30383,0
9,19,3,6,1,3,31183,32113
10,1,3,6,3,2,1431,0
10,2,3,6,3,1,2642,0
10,3,3,6,2,3,6099,0
10,4,3,6,1,2,7090,0
10,5,3,6,3,1,7924,0
10,6,3,6,2,3,9381,0
10,7,3,6,2,3,10348,0
10,8,3,6,1,2,11340,0
10,9,3,6,3,2,12398,0
10,10,3,6,3,1,13404,0
10,11,3,6,2,3,14371,0
10,12,3,6,2,3,15388,15992
11,1,3,6,3,1,881,0
11,2,3,6,3,2,2472,0
11,3,3,6,2,3,3977,0
11,4,3,6,2,3,4889,0
11,5,3,6,1,2,5912,0
11,6,3,6,3,2,6802,0
11,7,3,6,3,1,7666,0
11,8,3,6,2,3,9537,0
11,9,3,6,1,3,10354,0
11,10,3,6,2,1,11169,11717
12,1,3,7,3,2,2128,0
12,2,3,7,3,1,3184,0
12,3,3,7,2,3,4920,0
12,4,3,7,1,2,5792,0
12,5,3,7,3,1,6626,0
12,6,3,7,2,2,7537,0
12,7,3,7,1,3,9192,0
12,8,3,7,2,3,10402,0
12,9,3,7,2,1,11330,0
12,10,3,7,3,2,12290,0
12,11,3,7,3,2,13282,0
12,12,3,7,1,3,14153,0
12,13,3,7,2,1,15290,0
12,14,3,7,1,3,16509,0
12,15,3,7,2,3,17339,17895
13,1,3,7,3,2,1857,0
13,2,3,7,3,1,2809,0
13,3,3,7,2,2,3954,0
13,4,3,7,1,3,5241,0
13,5,3,7,2,1,6923,0
13,6,3,7,3,2,7760,0
13,7,3,7,1,3,8546,0
13,8,3,7,2,3,11479,0
13,9,3,7,2,2,12403,0
13,10,3,7,3,1,14683,0
13,11,3,7,3,2,17044,0
13,12,3,7,2,3,18420,0
13,13,3,7,2,3,19651,0
13,14,3,7,1,2,20616,0
13,15,3,7,3,1,22115,0
13,16,3,7,3,2,23045,0
13,17,3,7,1,3,23788,0
13,18,3,7,2,3,24638,25181
