trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,2985,3736
2,1,3,2,2,1,1376,0
2,2,3,2,3,2,2368,2936
3,1,3,2,3,1,640,0
3,2,3,2,2,3,1446,1925
4,1,3,4,2,1,1659,0
4,2,3,4,3,2,2990,0
4,3,3,4,3,2,3695,0
4,4,3,4,1,3,4364,4837
5,1,3,4,3,2,652,0
5,2,3,4,3,1,1339,0
5,3,3,4,2,3,2083,0
5,4,3,4,2,2,3004,0
5,5,3,4,3,2,5576,0
5,6,3,4,1,3,6652,0
5,7,3,4,2,1,7419,0
5,8,3,4,2,3,8661,0
5,9,3,4,1,2,9949,0
5,10,3,4,3,2,11163,0
5,11,3,4,3,1,12196,12804
6,1,3,5,2,1,1058,0
6,2,3,5,3,2,3363,0
6,3,3,5,3,2,4591,0
6,4,3,5,1,3,5310,0
6,5,3,5,2,3,6021,6493
7,1,3,5,3,2,804,0
7,2,3,5,3,1,1769,0
7,3,3,5,2,3,2978,0
7,4,3,5,2,3,3953,0
7,5,3,5,1,2,6153,0
7,6,3,5,3,2,6836,0
7,7,3,5,3,1,7513,0
7,8,3,5,2,3,9514,0
7,9,3,5,1,3,10370,0
7,10,3,5,2,1,11562,0
7,11,3,5,3,2,12517,13000
8,1,3,5,2,1,1670,0
8,2,3,5,3,2,2705,0
8,3,3,5,3,2,3541,0
8,4,3,5,1,3,4902,0
8,5,3,5,2,3,5660,0
8,6,3,5,2,1,6620,0
8,7,3,5,3,2,7412,0
8,8,3,5,3,2,9653,0
8,9,3,5,1,3,10515,0
8,10,3,5,2,1,11297,0
8,11,3,5,2,3,11988,12521
9,1,3,6,3,2,7275,0
9,2,3,6,3,1,8710,0
9,3,3,6,2,3,10049,0
9,4,3,6,2,3,10972,0
9,5,3,6,1,2,12274,0
9,6,3,6,3,1,13346,0
9,7,3,6,3,2,14498,0
9,8,3,6,1,3,15224,0
9,9,3,6,2,2,15969,0
9,10,3,6,2,1,17297,0
9,11,3,6,2,3,18457,0
9,12,3,6,1,2,19594,0
9,13,3,6,2,3,21714,22218
10,1,3,6,3,2,1040,0
10,2,3,6,3,1,1852,0
10,3,3,6,2,3,2822,0
10,4,3,6,2,3,4059,0
10,5,3,6,1,2,4916,0
10,6,3,6,3,2,5790,0
10,7,3,6,3,1,7686,0
10,8,3,6,2,3,8656,0
10,9,3,6,1,3,10364,0
10,10,3,6,2,3,11116,0
10,11,3,6,3,1,13629,14270
11,1,3,6,3,2,2481,0
11,2,3,6,3,1,3797,0
11,3,3,6,2,3,5002,0
11,4,3,6,2,3,6346,0
11,5,3,6,1,2,7554,0
11,6,3,6,3,2,8638,0
11,7,3,6,3,1,9374,0
11,8,3,6,2,3,10190,0
11,9,3,6,2,3,10878,11401
12,1,3,7,3,2,973,0
12,2,3,7,2,1,3581,0
12,3,3,7,3,2,4540,0
12,4,3,7,2,3,6090,0
12,5,3,7,2,3,7733,0
12,6,3,7,1,2,8857,0
12,7,3,7,3,2,9628,0
12,8,3,7,3,1,10504,0
12,9,3,7,2,3,11845,0
12,10,3,7,1,1,12816,0
12,11,3,7,2,3,15383,0
12,12,3,7,1,3,16132,16672
13,1,3,7,3,2,1844,0
13,2,3,7,3,1,2664,0
13,3,3,7,2,3,3872,0
13,4,3,7,2,3,4800,0
13,5,3,7,1,2,5902,0
13,6,3,7,3,2,6614,0
13,7,3,7,3,1,7409,0
13,8,3,7,2,3,9670,0
13,9,3,7,1,3,10383,11062
